id,ppgG,ppgIR,ppgR,statusG,statusIR,statusR,timestamp
237,170200,7481624,5555164,0,0,0,1748698254629
238,169747,7482382,5555603,0,0,0,1748698254669
239,169111,7482377,5555557,0,0,0,1748698254709
240,168604,7481835,5555441,0,0,0,1748698254749
241,168549,7481545,5554883,0,0,0,1748698254789
242,168836,7481511,5555009,0,0,0,1748698254829
243,169136,7482746,5555785,0,0,0,1748698254869
244,169189,7483756,5556588,0,0,0,1748698254909
245,169334,7484681,5557128,0,0,0,1748698254949
246,169541,7485267,5557686,0,0,0,1748698254989
247,169793,7486004,5558179,0,0,0,1748698255029
248,170077,7486388,5558241,0,0,0,1748698255069
249,170512,7487054,5558647,0,0,0,1748698255109
250,170962,7485806,5557720,0,0,0,1748698255149
251,171286,7483123,5555364,0,0,0,1748698255189
252,170661,7478138,5551297,0,0,0,1748698255229
253,169572,7476184,5549907,0,0,0,1748698255269
254,168455,7475545,5549524,0,0,0,1748698255309
255,167673,7475581,5549573,0,0,0,1748698255349
256,167135,7475861,5549658,0,0,0,1748698255389
257,167266,7476340,5549959,0,0,0,1748698255429
258,167119,7476207,5549739,0,0,0,1748698255469
259,166941,7475391,5549159,0,0,0,1748698255509
260,166608,7474776,5548540,0,0,0,1748698255549
261,166304,7474635,5548249,0,0,0,1748698255589
262,166141,7473264,5547274,0,0,0,1748698255629
263,166126,7473287,5547380,0,0,0,1748698255669
264,166127,7472974,5546838,0,0,0,1748698255709
265,166332,7472693,5546647,0,0,0,1748698255749
266,166490,7471882,5546060,0,0,0,1748698255789
267,166500,7471977,5546049,0,0,0,1748698255829
268,165624,7470743,5544885,0,0,0,1748698255869
269,164336,7469898,5544466,0,0,0,1748698255909
270,163539,7468896,5543746,0,0,0,1748698255949
271,162847,7467899,5542849,0,0,0,1748698255989
272,162516,7467056,5542001,0,0,0,1748698256029
273,162454,7466666,5541871,0,0,0,1748698256069
274,162048,7466372,5541629,0,0,0,1748698256109
275,161712,7465761,5540970,0,0,0,1748698256149
276,161457,7465096,5540434,0,0,0,1748698256189
277,161116,7464681,5540251,0,0,0,1748698256229
278,160968,7464273,5539777,0,0,0,1748698256269
279,160991,7463735,5539179,0,0,0,1748698256309
280,160934,7462900,5538262,0,0,0,1748698256349
281,161076,7462840,5538225,0,0,0,1748698256389
282,161120,7463161,5538393,0,0,0,1748698256429
283,160456,7463113,5538297,0,0,0,1748698256469
284,159422,7462721,5538406,0,0,0,1748698256509
285,158306,7461649,5537449,0,0,0,1748698256549
286,157494,7460474,5536427,0,0,0,1748698256589
287,157112,7459822,5535912,0,0,0,1748698256629
288,156860,7459757,5535895,0,0,0,1748698256669
289,156581,7459871,5535739,0,0,0,1748698256709
290,156095,7459683,5535456,0,0,0,1748698256749
291,155758,7459988,5535810,0,0,0,1748698256789
292,155547,7459943,5535788,0,0,0,1748698256829
293,155250,7460121,5535578,0,0,0,1748698256869
294,155209,7460551,5536101,0,0,0,1748698256909
295,155401,7460363,5535468,0,0,0,1748698256949
296,155407,7460433,5535505,0,0,0,1748698256989
297,155585,7461472,5536238,0,0,0,1748698257029
298,155011,7463248,5537574,0,0,0,1748698257069
299,153976,7463226,5537728,0,0,0,1748698257109
300,153032,7462890,5537320,0,0,0,1748698257149
301,152166,7462444,5537103,0,0,0,1748698257204
302,151579,7461925,5536681,0,0,0,1748698257244
303,151317,7462080,5536695,0,0,0,1748698257284
304,151212,7463028,5537457,0,0,0,1748698257324
305,150912,7463848,5537847,0,0,0,1748698257364
306,150438,7464084,5538127,0,0,0,1748698257404
307,150124,7463705,5537590,0,0,0,1748698257444
308,149886,7463379,5537502,0,0,0,1748698257484
309,149647,7462765,5536781,0,0,0,1748698257524
310,149695,7463318,5537189,0,0,0,1748698257564
311,149859,7463305,5537198,0,0,0,1748698257604
312,150105,7463270,5536894,0,0,0,1748698257644
313,149751,7464690,5538125,0,0,0,1748698257684
314,149026,7465750,5538973,0,0,0,1748698257724
315,147654,7464750,5538115,0,0,0,1748698257764
316,146451,7461947,5536450,0,0,0,1748698257804
317,145626,7458811,5533407,0,0,0,1748698257844
318,144696,7456180,5530928,0,0,0,1748698257884
319,143694,7451988,5527682,0,0,0,1748698257924
320,142492,7448579,5524521,0,0,0,1748698257964
321,141590,7447965,5523781,0,0,0,1748698258004
322,140849,7448582,5524423,0,0,0,1748698258044
323,140283,7448664,5524239,0,0,0,1748698258084
324,139983,7448813,5524248,0,0,0,1748698258124
325,139655,7449351,5524515,0,0,0,1748698258164
326,139493,7448687,5524011,0,0,0,1748698258204
327,139338,7448374,5523779,0,0,0,1748698258244
328,139339,7449691,5524793,0,0,0,1748698258284
329,138664,7450878,5525845,0,0,0,1748698258324
330,137236,7449475,5524843,0,0,0,1748698258364
331,135685,7448164,5523881,0,0,0,1748698258404
332,134237,7445171,5521339,0,0,0,1748698258444
333,132932,7442244,5518482,0,0,0,1748698258484
334,131582,7438813,5515109,0,0,0,1748698258524
335,130225,7435536,5512114,0,0,0,1748698258564
336,129057,7434903,5511070,0,0,0,1748698258604
337,127553,7432330,5506006,0,0,0,1748698258644
338,125680,7423869,5493899,0,0,0,1748698258684
339,126084,7448140,5514989,0,0,0,1748698258724
340,125632,7437219,5502469,0,0,0,1748698258764
341,125455,7432907,5503871,0,0,0,1748698258804
342,125663,7431102,5504714,0,0,0,1748698258844
343,126042,7421008,5496680,0,0,0,1748698258884
344,125463,7415037,5494950,0,0,0,1748698258924
